Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time,Crop_w_score
African Sarson,aphid,MAHARASHTRA,Attack of AphidsSpray super confidor 10 ml 15 liter of water(Imida 178 sl)Bayer,Spray super confidor 10 ml 15 liter of water(Imida 178 sl)Bayer,Spray super confidor 10 ml 15 liter of water(Imida 178 sl)Bayer,Spray Roger 15 ml15 Liter of Water(Dimethoate)Cheminova,spray 400 ml malathion in 200 lt of water per acre,0.37595100000000004,1.3585783502191087e-05
African Sarson,caterpillar,PUNJAB,spray 50 ml corazen 185 sl or 200 ml indoxa carb 158 ec in 100 lt of water per acre,spray 50 ml corazen 185 sl or 200 ml indoxa carb 158 ec in 100 lt of water per acre,spray 50 ml corazen 185 sl or 200 ml indoxa carb 158 ec in 100 lt of water per acre,spray 50 ml corazen 185 sl or 200 ml indoxa carb 158 ec in 100 lt of water per acre,Spray Proclaim 5gm15lit of Water (Emamectin Benzoate 5 SG)Syngenta,0.42857799999999996,1.3585783502191087e-05
African Sarson,stem rot,MAHARASHTRA,spray bavistin 250gm in 150lit water per acre,No answer,No answer,No answer,No answer,0.454769,1.3585783502191087e-05
African Sarson,yellow,MAHARASHTRA,SPRAY MANCOZEB 75 WP 2 GMLTR WATER,No answer,No answer,No answer,No answer,0.381819,1.3585783502191087e-05
African Sarson,Powdery mildew,MAHARASHTRA,Metalaxyl8  Mancozeb64 WPki 115 gm lit pani me,USE SULFUR 4 KG  BIGHA,No answer,No answer,No answer,0.544531,1.3585783502191087e-05
Almond,pode borer,BIHAR,Spray quinolphos  1 ml in one liter Of water,No answer,No answer,No answer,No answer,0.806761,4.242711160740122e-05
Almond,aphid,MADHYA PRADESH,Recommended to spray PLANOFIX  1 ml  4 litre of water to prevent flower drop and fruitseed setting,control leaf curl aphid in almond are spray rogor 30Ec  100ml200litre of water,SPRAY 1 ML ROGOR PER LITRE OF WATER,Spray Rogor  1 Ml  1 Liter of water,SPRAY 1 ML ROGOR PER LITRE OF WATER,0.510821,4.242711160740122e-05
Almond,canker,TAMILNADU,Spray Boardaux Mixture  15 Kg copper Sulphate  25 Kg Quick Lime  150 Liters of Water ,Spray Bordaux mixture  1 Kg Copper Sulphate  1 Kg Quick Lime 100 Liters of water ,control Cankar in Almond Plant Are  Spray Blaitox  600 Gm 200 Liter Of Water ,Spray Boardaux Mixture ,No answer,0.512764,4.242711160740122e-05
Almond,sucking pest,ANDHRA PRADESH,Recommended for to control sucking  imedachlorprid 178 SL 57 ml at 15 liter of water,Spray Tata Mida10 Ml 15 Liter Water(Imida 178 Sl)Tata Rallis,RECOMMENDED TO SPRAY PROFENOFOS 2 ML1LITRES OF WATER,RECOMMENDED TO SPRAY IMIDACHLOPRID 160 ML PER ACRE,   1  200                    60   150         ,0.915531,4.242711160740122e-05
Almond,termite,RAJASTHAN,Control of termites in fruit plant 4050 ml chloropyriphos in 5 liter water  plant ,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE,USE CLOROPAYRIPHOS 20 EC 2 MLLTR WATER DRENCHING OF PLANT,USE CHLOROPYRIFOS 20 EC 10 ML PER PALNT WITH 10 LIT WATER,USE CHLOROPYRIFOS 20 EC 2 ML PER LITER WATER IN ROOT ZONE,0.5498069999999999,4.242711160740122e-05
Aloe Vera,stem rote,WEST BENGAL,RECOMMENDED FOR SPRAY TRICHODERMA VIRIDE  5 GM  PSEUDOMONAS FLUORESCENCE  5 GM   LIT OF WATER,RECOMMENDED FOR SPRAY   TRICHODARMA VIRIDE  5 GM   PSEUDMONAS FLUORESCENS  5 GM  LIT OF WATER,RECOMMENDED FOR SPRAY TRICHODARMA VIRIDE  5 GM  PSEUDMONAS FLUORESCENS  5 GM  1 LIT OF WATER,RECOMMENDED FOR SPRAY   PSEUDMONAS FLUORESCENS  5 GMTRICHODARMA VIRIDE  5 GM  1 LIT OF WATER,RECOMMENDED FOR SPRAY TRICHODARMA VIRIDE  5 GM  PSEUDMONAS FLUORESCENS  5 GM  LIT OF WATER,0.989949,6.781507016317171e-05
Aloe Vera,rust,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.522692,0.0
Aloe Vera,aphid,UTTAR PRADESH,Spray of imidaclorprid 178SL 5 to 6 ml per pump,RECOMENDED DOSE OF CONFIDER 1ML3LIT WATER SPRAY,No answer,No answer,No answer,0.569365,6.781507016317171e-05
Aloe Vera,Anthracnose,TRIPURA,                50    400          50    400                             I,APPLY CARBENDAZIM 300GMACRE AT 710 DAYS INTERVAL,APPLY CARBENDAZIM 300GMACRE AT 710 DAYS INTERVAL,No answer,No answer,0.817527,6.781507016317171e-05
Aloe Vera,aphid,RAJASTHAN,Spray of imidaclorprid 178SL 5 to 6 ml per pump,RECOMENDED DOSE OF CONFIDER 1ML3LIT WATER SPRAY,No answer,No answer,No answer,0.566905,6.781507016317171e-05
Amarphophallus (SurankandElephant Foot Yam),collar rot,UTTAR PRADESH,Recommended to spray and drench pseudomonas 20 g per liter of water Repeat at weekly intervals,Recommended to spray and drench pseudomonas 20 g per liter of water Repeat at weekly intervals,RECOMMENDED FOR SPRAY CARBENDAZIM 25  MANCOZEB 50 (75 WP)  3 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER,RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50 WP   4 GM  LIT OF WATER,0.809055,5.3887744617629445e-05
Amarphophallus (SurankandElephant Foot Yam),mosaic,KERALA,Controlled by application of Chlorpyriphos 25 ml  neem oil 2 ml lit of water,RECOMMENDED FOR SPRAY IMIDACLOPRID 178 SL  1 ML   5 LIT OF WATER,No answer,No answer,No answer,0.523199,5.3887744617629445e-05
Amarphophallus (SurankandElephant Foot Yam),leaf spot,KERALA,      25  FYM          80 60 100           45    406050      4050               ,RECOMMENDED FOR SPRAY  CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LIT OF WATER,RECOMMENDED FOR SPRAY   METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,Leaf spot Leaf spot disease can be controlled by spraying Mancozeb at 2 glit,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GMLIT OF WATER,0.734903,5.3887744617629445e-05
Amarphophallus (SurankandElephant Foot Yam),collar rot,KERALA,Recommended to spray and drench pseudomonas 20 g per liter of water Repeat at weekly intervals,Recommended to spray and drench pseudomonas 20 g per liter of water Repeat at weekly intervals,RECOMMENDED FOR SPRAY CARBENDAZIM 25  MANCOZEB 50 (75 WP)  3 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER,RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50 WP   4 GM  LIT OF WATER,0.794203,5.3887744617629445e-05
Amarphophallus (SurankandElephant Foot Yam),blight,UTTAR PRADESH,kisan bhaiCarbendazim 12  Mancozeb 63 WP 300 GRAMACRE 200 LITER PAANI KI DAR SE SPRAY KARE,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,RECOMMENDED SPRAY MANCOZEB(DHANUKA M45) 3GMLTR WATER FOR LEAF BLIGHT IN YAM,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GMLIT OF WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,0.516285,5.3887744617629445e-05
Aonla,blight,RAJASTHAN,Recomended for Leaf Blight in amla spray mancozeb carbendazim (saaf) 25gmlit of water,SPRAY OF STREPTOCYCLEAN 2 GM 15 LITER WATER  COPPER OXICHLORIDE 3 GM LITER WATER,SPRAY OF STREPTOCYCLEAN 2 GM 15 LITER WATER  COPPER OXICHLORIDE 3 GM LITER WATER,spray blue copper 40 gram  microlla 30 mili  005234 50 gram in 15 lit of water,SPRAY OF COPPER OXICHLORIDE 45 GM   STREPTOCYCLIN 15 GM PER 15 LITER WATER,1.384367,0.0002465933552995466
Aonla,leaf roller,UTTAR PRADESH,recommended for chloripariphos 2 ml  carbendazim 2 gram 1 litre of water,recommended for Spray application of dimethaote 2ml litre of water,recommended for spray profenophos 25 mllit of water,Recommended for spray profenophos 2 mllit of water,recommended for spray profenofos 2ml 1lit of water,3.2914849999999998,0.0002465933552995466
Aonla,yellowing,BIHAR,ap copper oxichloride 50  WP 2 gramliter pani ki dar se ghol banakar chhidkav Karen,SPRAY COPPER OXY CHLORIDE 2 GRAMLITRE OF WATERSPRAY PLANOFIX 1 ML5LITRE OF WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,yellowing in wheatSpray 10 gm urea and 5 gm zinc  lit of water,19 19 19 60 GM   MICROLLA 30 ML  BAVISTIN 30 GM15 LITER WATER,1.8185200000000001,0.0002465933552995466
Aonla,fruit borer,TAMILNADU,Queenolfos 25 EC 1000 Ml  hac rate of sprayor Profenophos  cypermethrin 1000 Ml  hac rate of spray,kisan bhai aap avala me Triazophos 40 EC 2 mlliter pani ke sath spray kare,Dear farmer spray CHLORPYRIFOS 50CYPERMETHRIN 5EC 2530 ml per pump,Recommended for spray  Azadirachtin 3 ml  teepol 1 ml lit of water,Dimethoate 30EC 152 ml  liter pani ka ghool banaker spray kare,3.257781,0.0002465933552995466
Aonla,lichen,HIMACHAL PRADESH,Control lichen in apple plants are spray caustic soda  2kg200litre of water,Lichen in apple plants are spray caustic soda  2kg200litre of water,No answer,No answer,No answer,1.396924,0.0002465933552995466
Apple,hail,HIMACHAL PRADESH,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,The hail affected apple orchards be spray with urea (1kg)  Mancozeb (500 gm) Per 200 Liter of water,15.761218,0.0038905433649291344
Apple,scab,JAMMU AND KASHMIR,spray Governor (40 EC)  20 ml or WAVE ( 75 WP)  50 gm or Cabrio Top (60 WG)  100 gm in 100 lt water,Flusilazole 40 EC (20 ml) or Metiram 55  Pyraclostrobin 5 60 WG (100 g) or Myclobutanil 10WP (50 g),spray Governor (40 EC)  20 ml or WAVE ( 75 WP)  50 gm or Cabrio Top (60 WG)  100 gm in 100 lt water,fungal spores survive in dead leaves on the ground under unfavorable conditions for their survival,Spray 100 Gm Bavesation  500 Gm Indofil M45  400 Ml Dicophol  400 Ml Biozyme  200 Liters of water ,15.628533,0.0038905433649291344
Apple,canker,JAMMU AND KASHMIR,MIX 1 KG COPPER  2 KG LIME IN 30 LTRS OF WATER AND  CLEAN THE STEM WITH SHARP KNIFE AND PAINT ON IT,CLEAN THE STEM WITH SHARP KNIFE AND APPLY BORDEAUX OR CHAUBATIA PASTE ON ITREPEAT IT AFTER 3 MONTHS,CLEAN THE AREA WITH SHARP KNIFE AND APPLY BORDEAUX PASTE OR CHAUBITTIA PASTE ON THE AFFECTED AREA ,CLEAN THE AREA WITH SHARP KNIFE AND APPLY BORDEAUX PASTE OR CHAUBITTIA PASTE ON THE AFFECTED AREA ,CLEAN THE AREA WITH SHARP KNIFE AND APPLY BORDEAUX PASTE OR CHAUBITIYA PASTE ON THE AFFECTED AREA ,21.591534,0.0038905433649291344
Apple,Powdery mildew,HIMACHAL PRADESH,Spray carbendazim 100 gram or Hexaconazole 100ml200 liter water for control powdery mildew in apple,control powdery mildew in apple is spray indofil m45  500 gram  bavistin  100gram200 litre of water,Spray Hexaconazol or carbendazim100 gram200 liter water for control powdery mildew in apple nursery,Spray carbendazim or hexaconazol  100  200 liter water for control powdery mildew in apple nursery,Spray Bavstin 100 gram or Hexaconazol 100ml100 liter water for control powdery mildew in apple,77.783812,0.0038905433649291344
Apple,mosaic,JAMMU AND KASHMIR,Flusilazole 40 EC (20 ml) or Captan 70  Hexaconazole 5 75 WP (50 g) or Myclobutanil 10WP (50 g),APPLY IMIDACLOPRID  3 ml in 10 litre water,spray with malathiyan  1mlliter of water ,spray imidacloprid  3ml10 ltrs of water,No answer,22.021281,0.0038905433649291344
Apricot,Powdery mildew,UTTAR PRADESH,Spray carbendazim  100 gram200 liter water for control powdery mildew in apricot,Spray Hexaconozol  100 Ml  200 Liters of Water,spray of hexaconazole  05 ml  liter of water,No answer,No answer,0.68995,2.379409568679836e-05
Apricot,collar rot,UTTARAKHAND,INCOMPLETE CALL,No answer,No answer,No answer,No answer,0.591134,2.379409568679836e-05
Apricot,Frosty mildew,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.6652600000000001,0.0
Apricot,root rot,KERALA,DRENCH   RADOMIL    25 GRAMS IN  10 LITRE OF WATER NEAR THE  ROOT ZONE  AREA,Drainching With INDOFIL M45  25 Gm  10 Gm Bavesation  10 Liters of Water,DRENCH THE ROOT WITH MANCOZEB  CARBENDAZIM  3GMLITER OF WATER,drenching with 3 gram blityox per liter of water,No answer,0.535568,2.379409568679836e-05
Apricot,blight,JAMMU AND KASHMIR,234723792354236823252381235123692352 24062411240623502367235423672354236723352352,Copper oxychloride 25 glit Three sprays must be given at 12 days interval,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,copper oxychloride  3gmliter of watercarbendazim  1gmliter of water,0.434238,2.379409568679836e-05
Arecanut,die back,KARNATAKA,SPRAY COPPER OXYCHLORIDE  3GM1LIT WATER FOR INFLORESCENCE DIE BACK  IN ARECANUT,INFLORESCENCES DIE BACK DISEASERECOMENDED DOSE OF MANCOZEB 2GM1LIT WATER SPRAY,die back of inflorescence of arecanutspray copperoxychloride2gmlit of water,die back of arecanut inflorescencespray copperoxychloride2gmlit of water,Recommended for spray copper oxy chloride 25 gm  litre of water,2.3165080000000002,0.00025012262308084205
Arecanut,yellow,KERALA,recommended for the apply   Application of potassium and magnesium more than the recommended level,yellow leaf disease in arecanut  Application of potash 1kg and magnesium  sulphate 200gmtree,recommended for the application of potassium and magnesium more than the recommended level,Recommended for Application of potassium and magnesium more than the recommended level,recommended for Application of potassium and magnesium more than the recommended level,1.369114,0.00025012262308084205
Arecanut,bud rot,KARNATAKA,Recommended bordeaux mixture for spray Central nursery vellanikkara  thrissur 048724386202374332,       1     3     2     72             30  45             1     2     72            ( )      ,Recommended for drenching crowns with Bordeaux mixture 1 including surrounding healthy palms,Recommended for drenching crowns with Bordeaux mixture 1 including surrounding healthy palms,recommended for  1  Bordeaux mixture would help in minimizing the incidence of the disease,2.1378939999999997,0.00025012262308084205
Arecanut,fruit rot,TAMILNADU,recommended for Spray with Bordeaux mixture 1 before on set of the monsoon and second spray 4045,Recommended to spray Copper Oxychloride 3gm per litre of water to control fruit rot in Arecanut,SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT OF WATER GIVE 23 SPRAY AT 1012 DAYS INTERVAL,SPRAY BORDEAUX MIXTURE  1ML PER LITER OF WATER  IN ARECANUT TO CONTROL FRUIT ROT,RECOMMENDED SPRAY BODEAUX MIXTURE 10GMLTR WATER FOR FRUIT ROT IN ARECANUT,2.545127,0.00025012262308084205
Arecanut,foot rot,KARNATAKA,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63  2 GMLIT OF WATER  23TIMES 1215 DAYS INTERVAL,recommended him to apply  bordeux mixture  10glit of water drench the soil at 5 days interval,Control root rot in Arecanut are drenching indofil m45  25gm  bavistin  10gm10litre of water,APPLY BORDEAUX MIXTURE AS SOIL DRENCHING AND SPRAY ON THE PLANT  10 G PER LITER OF WATER,Recommended for Foot rot in arecanut drench with copper oxy chloride 25 gmliter of water,2.320919,0.00025012262308084205
Ash Gourd (Petha),mildew,ASSAM,For control of Powdery Mildew in CUCURBITS spray Karathane 5080ml per acre in 100lt water per acre,For control of Powdery Mildew in CUCURBITS spray Karathane 5080ml per acre in 100lt water per acre,Recommended to spray Mancozeb 75 WP 3gm per litre of water to control Downy mildew in Ash Gourd,ash guard downy mildew management  recommended to spray metalaxyl 2 grams per liter of water,Recommended for spray Powdery mildew can be controlled by spraying  Carbendazim  5 mllit,1.1535309999999999,0.00019843592718703126
Ash Gourd (Petha),fly,ASSAM,RECOMMENDED TO SPRAY MALATHION 50 EC(KILLER)2 MLLIT WATER MIX IT WITH MOLASSES(GUR)10 GRAMLIT WATER,RECOMMENDED TO SPRAY MALATHION 50 EC(KILLER)2 MLLIT WATER MIX WITH MOLASSES (GUR) 10 GRAMLIT WATER,RECOMMENDED TO SPRAY BELT EXPERT ( THIACHLOPRID  FLUBENDAMIDE ) 400 GRAMS 200 LITRES OF WATER ACRE,Mix methyl eugenol  malathion 50 EC at 11 ratio and keep 10 ml of the bait in polythene bags  25ha,ASHGOURD  WHITE FLY MANAGEMENTRECOMMENDED FOR SPRAY NEEM OIL 5 ML  FIPRONIL 2 ML 1 LITER OF WATER,0.8000229999999999,0.00019843592718703126
Ash Gourd (Petha),fruit borer,MAHARASHTRA,control fruit borer in petha is spray monocrotophas  1 mllitre of water for flowering time ,Recommended for prepare jaggery 500gm  Carbofuran 500gm  Rice Bran 5kg  Need based water,recommended for spray Fipronil 2 ml  neem oil 3 ml  wetting agent 1 ml   lit of water,ADVICED TO APPLY MALATHION 50 EC  2 ML PER LITER OF WATER ALONG WITH 10 GM MOLLASE,howto control fruit borer in tinda   spray 400 ml malathian in 200 liter wateracre,2.597716,0.00019843592718703126
Ash Gourd (Petha),thrips,TAMILNADU,Recommended for spray imidacloprid 5 ml  neem oil 30 ml  sticking agent 5 ml  10 liter of water,                    3          ( 10                10        10              30           9    ,TO CONTROL THRIPS IN ASH GOURD SPRAY ISOGASHI (IMMIDACHLOROPID 178SL)  5ML15 LITER WATER ,Recommended for spray Dimethoate 2ml  neem oil3ml  sticking agent 05ml 1 litre of water,Thrips on ash gourdSpray Regent 30 ml 15 liter water(Fipronil 5 SC)Bayer,1.148209,0.00019843592718703126
Ash Gourd (Petha),mosaic,TAMILNADU,Recommended for spray imidacloprid 5 ml  neem oil 30 ml   sticking agent 10 ml  10 litre of water,Recommended for Ash gourd  mosaic virus spray dimethoate 2mlneem oil 3mlteepol 1mllit of water,recommended for ash gourd  mosaic virus spray dimethoate 2mlneem oil 3mlteepol 1mllit of water,recommended ash gourd  mosaic virus spray dimethoate 2mlneem oil 3mlteepol 1mllit of water,recommended for spraying Acetamiprid (pride)at the rate of 4 gram in 10 litres of water,1.140742,0.00019843592718703126
Avacado,fungal,KERALA, Recommended to apply  pseudomonas 20gms per liter  of water,10 gram urea5 gram zinclitre pani ka prayog Karen,Hexaconazole 5 EC400 mlacre,No answer,No answer,0.36488400000000004,1.119498919873288e-05
Avacado,stem borer,TAMILNADU,Recommended for apply Hook out the grub from the bore hole  apply monocrotophos 10  ml hole,Recommended for apply celphos tablet 1 number in hole then mould with clay soil,Recommended for apply One celphos tablet (3 g aluminum phosphide) per hole,Recommended for Padding with Monocrotophos and paste with clay on stem ,recommended for apply carbaryl  20 gm lit of water,0.41671800000000003,1.119498919873288e-05
Avacado,nematodes,TAMILNADU,apply 100gms neem cake per plant,No answer,No answer,No answer,No answer,0.389067,1.119498919873288e-05
Avacado,blight,TAMILNADU,Spray mencozeb  2glit of water,No answer,No answer,No answer,No answer,0.36285300000000004,1.119498919873288e-05
Avacado,stem borer,BIHAR,Recommended for apply Hook out the grub from the bore hole  apply monocrotophos 10  ml hole,Recommended for apply celphos tablet 1 number in hole then mould with clay soil,Recommended for apply One celphos tablet (3 g aluminum phosphide) per hole,Recommended for Padding with Monocrotophos and paste with clay on stem ,recommended for apply carbaryl  20 gm lit of water,0.41976199999999997,1.119498919873288e-05
BAJRA NAPIER HYBRID,shoot fly,HIMACHAL PRADESH,FOR THE CONTROL OF MAIZE SHOOT FLY IN BAJRA CROP PLS APPLY 5KG FURADAN PER ACER,No answer,No answer,No answer,No answer,0.808549,4.1288638129563976e-05
BAJRA NAPIER HYBRID,grasshopper,UTTAR PRADESH,Dear farmer use to Dichlorvos 76 EC 2mlliter water splash in the field,FOR THE CONTROL OF GRASSHOPPER FOR APPLY MELATHIAN 5 10KG20KG SAND ,spray malathion 50ec  2 liter mix in 100 liters of water  acre ,Spray 1 ml Triazophos 35  Deltamethrin 1 in per lt of water,             500   20  200            12                ,0.6674859999999999,4.1288638129563976e-05
BAJRA NAPIER HYBRID,stem borer,JAMMU AND KASHMIR,               10    (3)  4   (10 )  75   (4)  10             40    200          ,              10    (3)  4   (10 )  75   (4)  10             40    200          ,               8   (3)  4   (10 )  75   (4)  10             40    200          ,            10   (3)  4   (10 )  75   (4)  10           40   200        ,            10   (3)  4   (10 )  75   (4)  10           40   200        ,0.847218,4.1288638129563976e-05
BAJRA NAPIER HYBRID,smut,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.465204,0.0
BAJRA NAPIER HYBRID,rust,HARYANA,No answer,No answer,No answer,No answer,No answer,0.464264,0.0
Banana,head rot,MAHARASHTRA,RECOMMENDED TO DRENCH WITH BLEACHIG POWDER 20GLITERPLANTOR CARBENDAIZM 3GLITERPLANT,recommended for drenching with copper oxy chloride  25 gm lit of water,recommended for soil drenching with carbendazim  2 gm lit of water,recommended for carbendazim  2 gm lit of water,              50   500gm     200        ,18.024364000000002,0.002289621960394405
