Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time
Avacado,fungal,KERALA, Recommended to apply  pseudomonas 20gms per liter  of water,No answer,No answer,No answer,No answer,0.324196
Avacado,stem borer,TAMILNADU,Recommended for apply Hook out the grub from the bore hole  apply monocrotophos 10  ml hole,Recommended for apply celphos tablet 1 number in hole then mould with clay soil,Recommended for apply One celphos tablet (3 g aluminum phosphide) per hole,Recommended for Padding with Monocrotophos and paste with clay on stem ,recommended for apply carbaryl  20 gm lit of water,0.35883
Avacado,nematodes,TAMILNADU,No answer,No answer,No answer,No answer,No answer,0.357414
Avacado,blight,TAMILNADU,No answer,No answer,No answer,No answer,No answer,0.350635
Avacado,stem borer,BIHAR,No answer,No answer,No answer,No answer,No answer,0.353516
BAJRA NAPIER HYBRID,shoot fly,HIMACHAL PRADESH,No answer,No answer,No answer,No answer,No answer,0.334761
BAJRA NAPIER HYBRID,grasshopper,UTTAR PRADESH,Dear farmer use to Dichlorvos 76 EC 2mlliter water splash in the field,No answer,No answer,No answer,No answer,0.502428
BAJRA NAPIER HYBRID,stem borer,JAMMU AND KASHMIR,SPRAY  LAMBDA   10 ML IN 15 LITRE OF WATER,No answer,No answer,No answer,No answer,0.321476
BAJRA NAPIER HYBRID,smut,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.477842
BAJRA NAPIER HYBRID,rust,HARYANA,No answer,No answer,No answer,No answer,No answer,0.416153
Banana,head rot,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,1.793075
Banana,stem rot,WEST BENGAL,SPRAY  CHLOROTHALONIL 75 WP   2 GM   LIT OF WATER  SPRAY   ACEPHATE 75 SP  15 GM  2 LIT OF WATER,RECOMMENDED FOR SPRAY  PROPICONAZOLE 25 EC  15 ML  2 LIT OF WATERClient ID  WB15364678,RECOMMENDED FOR SPRAY  THIOPHANATE METHYL 75 WP  1 GM   1  LIT OF WATER,RECOMMENDED FOR SPRAY OF  COPPER OXYCHLORIDE 50  WP  4 GM LIT OF WATER,RECOMMENDED FOR SPRAY   COPPER OXYCHLORIDE 50 WP   4 GM  LIT OF WATER,1.658554
Banana,panama wilt,KARNATAKA,spray Carbendazim 50 Wdiv 10 gper liter of water and spray banana special 2 ml per liter of water,ASKED FORbanana Pananma wiltRECOMMENDED3 g Copper oxychloride 50 Wdiv in a lit water and plant,                                                             20      2    10             2    ,asked about panama wilt of bananarecommendedstem inection of 10 ml carbendezim per plant,3 ml of 2  Carbendazim solution corm injection  at 45 angle is made to a depth of 10 cm,2.311431
Banana,leaf spot,UTTAR PRADESH,SPRAY OF CARBENDAZIM 12  MANCOZEB 63  400 GRAM  COPPER OXI CLORAIED 100 GRAM ACRE  200 LITRE WATER,Kisan bhai kela ki fasal me carbendazim 12mancozeb 63 WP 25 gramliter pani ke hisab se spray kare,spray of captan 70  hexaconazol 5  400 gram  copper oxi cloraied 4  200 gram  200 litre wateracre,kela me Copper Oxychloride 50 WP 500gmacre ki dar se 200 liter paani me milaakar chhidkav kare,spray copper oxicholoride  50 wp  3 gmliter of water monocrotophos 36 wsc  2 mlliter of water,4.136002
Banana,anthracnose,TRIPURA,No answer,No answer,No answer,No answer,No answer,0.400151
Barley (Jau),Powdery mildew,MAHARASHTRA,Spray virosol 30gm15lit of water,No answer,No answer,No answer,No answer,0.495236
Barley (Jau),termite,RAJASTHAN,TERMITE CONTROL OF CEREALS USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION,termite control in wheat  choloropyrifos 20  ec 1 litre per bigha with irrigation,USE IMIDACHLOPRID 178 SL 1 LITER PER HECTER WITH IRRIGATION FOR TERMITE CONTROL,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE ,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE ,1.005721
Barley (Jau),yellowing,RAJASTHAN,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,1.15944
Barley (Jau),root rot,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.708002
Barley (Jau),sucking pest,GUJARAT,Suggested Dimethoate (Rogar) 30 EC 20 mlpump spray Suitable for young crops,Suggested profenofos 40  cypermethrin 4 40 mlpump spray,Suggested Profenofos 50 EC 25 mlpump spray 50  EC 25   ,Suggested profenofos 40  cypermethrin 4 40 mlpump spray,Suggested Imidacloprid 305  sl 34  mlpump  spray,0.410408
Barnyard Millet (KundiraivlliSawan,shoot fly,RAJASTHAN,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER,No answer,No answer,No answer,No answer,0.762807
Barnyard Millet (KundiraivlliSawan,grasshopper,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.494653
Barnyard Millet (KundiraivlliSawan,stem borer,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.792025
Barnyard Millet (KundiraivlliSawan,smut,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.428168
Barnyard Millet (KundiraivlliSawan,rust,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.519932
Barseem,caterpillar,PUNJAB,INFORMATION REGARDING CATERPILLAR IN BERSEEM  SPRAY AVAUNT 200 ML IN 150 LITRE OF WATER PER ACRE,for control of catterpillar in barsem spray 50ml corrajen 185 SL in 100 liter water for per acre,information regarding caterpillar in berseem  SPRAY CORAGEN 60 ML IN 100 LITRE OF WATER PER ACRE,INFORMATION REGARDING CATERPILLAR IN BERSEEM  SPRAY AVANT 200 ML IN 150 LITRE OF WATER PER ACRE,caterpillar in barseem spray coragen 3035 ml or ekalux 130 ml in 100 litres of water per acre,2.477021
Barseem,root rot,UTTAR PRADESH,kisan bhai aap apne barseem ki fasal me trichoderma 2 gramlitre pani me milaakar spray kare,Kisan bhai barseem me hexaconazole 5 SC 200400gmacre  streptocyclin 6gmacre ki dar se spray,Dear former use to  Copper Oxychloride 50 WP  25gliter water splash in the field,Dear former use to  Copper Oxychloride 50 WP  25gliter water splash in the field,KISAN BHAICopper Oxychloride 50 WP KI 2 GRAM  LITER PAANI KI DAR SE SPRAY KARE,0.963817
Barseem,stem rot,PUNJAB,FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM SPRAY 300 GM BAVISTIN IN 100 LITRE OF WATER PER ACRE,information regarding stem rot in barseem  please spray bavistan 400gm in 200 litre water per acre,FOR THE CONTROL OF STEM ROT DISEASE PLS SPRAY250 gram CARBENDAZIMMANCOZEB(SAAF) IN 150LITRE WATER,STEM ROT IN BARSEEM SPRAY SAAF( CARBENDAZIM  MENCOZEB )  500 GRAM IN 150 LITRES OF WATER PER ACRE,FOR THE CONTROL OF STEM ROT DISEASE PLS  BROADCAST500GM CARBENDAZIMMANCOZEB(SAAF) MIXED WITH SAND,2.750006
Barseem,root rot,HARYANA,DISEASE CONTROL IN BERSEEM SPREAD 600 GM BAVASTIN MIX WITH 20 KG SAND PER ACRE THEN IRRIGATE ,control root rot in barseem cropspray of bavastin 400 gm mixed in 200 litre of wateracre,control root rot in barseem cropspray of bavastin 400 gm mixed in 200 litre of wateracre,          500  ( 12   63  WP (1263))  250 300              500   40          ,USE CARBENDAZIM 250 GM BHEEGA IN ROOT ZONE WITH IRRIGATION,2.197463
Barseem,caterpillar,MADHYA PRADESH,Recommended for to control caterpillar in barseem  spray to Emamectin benzoate 5  78 grampump,recommended for to control caterpillar in arhar  spray to Emamectin benzoate 5  78 grampump,         5     3              150          2               12       150               ,Profenophos 40  Cypermethrin 4 EC(Rocket or  Poltrin or  Veercombi4 ) 40 ml pump,recommended for to control caterpillar in barseem apply trizophos 40 MLpump,0.504555
Bay Leaf,sucking pest,TAMILNADU,recommended for spray Thiacloprid 6 ml 10 lit of water,recommended for spray Thiacloprid 6 ml 10 lit of water,No answer,No answer,No answer,0.371962
Bay Leaf,aphid,WEST BENGAL,No answer,No answer,No answer,No answer,No answer,0.353362
Bay Leaf,sucking pest,ODISHA,RECOMMENDED TO SPRAY IMIDACLOPRID  1 ML  3 LITRE WATER TO CONTROL SUCKING PEST IN BAY LEAF,No answer,No answer,No answer,No answer,0.370502
Bay Leaf,anthracnose,ODISHA,Three rounds of spray with Bordeaux mixture 1 FOR Anthracnose IN BETTLE VINE,No answer,No answer,No answer,No answer,0.383257
Bay Leaf,blast,WEST BENGAL,RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50 WP   4 GM  LIT OF WATER,No answer,No answer,No answer,No answer,0.356158
Beans,leaf curl,ODISHA,RECOMMENDED TO APPLY METHYL DEMETON(METASYSTEX) 25EC 2ML1 LITRE WATER TO CONTROL LEAF CURL IN BEANS,RECOMMENDED TO SPRAY IMIDACHLOPRID 178 SL  5 ML PER 15 LITRE OF WATER TO CONTROL LEAF CURL IN BEANS,Recommended to spray Emamectin benzoate 5sg 5gm per 15 liter of water to control leaf curl in Bean,Recommended to spray Dimethoate 30 EC(Rogor) 2ml per litre of water to control Leaf curl in Cowpea,Recommended to spray Dimethoate 30 EC(Rogor) 2ml per litre of water to control leaf curl in Beans,0.970326
Beans,yellowing,BIHAR,Spray copper oxycloride  2 gram in 1 litter of water for yelowing of leaves of beans,Spray saaf  2glit in her as I am an estimate of when and how do you think of water,Spray saaf  2glit in her as I am an estimate of when and how do you think of water,yellowing leaf in beans Spray Mancozeb 75 WP 2 gramliter of water,Spray metalyxl  2Spray metalyxl  2glit of waterglit of water,0.418752
Beans,jassids,ODISHA,Foliar spray of Imidacloprid 1ml 3 Litar water  Sticker 1 ml 1litar water,JASSIDS IN BEANS  SPRAY OYDEMETON METHYL 25EC  2ML PER LITRE WATER,RECOMENDED DOSE OF ACETAMIPRID 5GM15LIT WATER SPRAY,RECOMENDED DOSE OF DIMETHOATE 2ML1LIT WATER SPRAY,RECOMENDED DOSE OF DIMETHOATE 2ML1LIT WATER SPRAY,0.733354
Beans,wilt,HIMACHAL PRADESH,drenching with 30gram blitox  1 gram streptocyclin per 10 litre of water,No answer,No answer,No answer,No answer,0.645038
Beans,wilt,ODISHA,spray copper oxychloride 30 gram ands plantomycin 15 gram in 10 litres of water for wilt in beans,SPRAY COPPER OXYCHLORIDE 30 GRAM AND PLANTOMYCIN 15 GRAM IN 15 LITRES OF WATER FOR WILT IN BEANS,spray copper oxychloride 30 gram and plantomycin 15 gram in 10 litres of water for wilt in beans,SPRAY COPPER OXYCHLORIDE 30 GRAM AND PLANTOMYCIN 15 GRAM IN 10 LITRES OF WATER FOR WILT IN BEANS,RECOMMENDED TTO SPRAY RIDOMIL MZ 2 G  PLANTOMYCIN 1 G IN 1 LIT WATER FOR BACTERIAL WILT IN BEAN,0.596611
Beet Root (Garden BeetStock Beet),caterpillars,MADHYA PRADESH,Spray recommended dose of Queenolfos 25 EC 1000 Mlhac,           50    5   400     200           I,Spray Chloropyriphos 20 EC 20 ml per pump,No answer,No answer,0.423014
